* AutoImpedance measurements
* Impedance values are estimates and may be affected by noise.
*  6 February 2024 11:45:21
*
*
*             elec	Impedance
******************	*********
             elec1	 158 
             elec2	 138 
             elec3	 149 
             elec4	 137 
             elec5	 125 
             elec6	 116 
             elec7	 111 
             elec8	 119 
             elec9	 106 
            elec10	 113 
            elec11	  90 
            elec12	 103 
            elec13	 114 
            elec14	 139 
            elec15	  82 
            elec16	  89 
            elec17	 500 
            elec18	 127 
            elec19	  90 
            elec20	 383 
            elec21	  69 
            elec22	 112 
            elec23	 131 
            elec24	 101 
            elec25	 110 
            elec26	 112 
            elec27	  94 
            elec28	 100 
            elec29	 106 
            elec30	  93 
            elec31	  90 
            elec32	 325 
            elec33	 129 
            elec34	 101 
            elec35	 235 
            elec36	 146 
            elec37	 132 
            elec38	  97 
            elec39	 139 
            elec40	 117 
            elec41	 110 
            elec42	 111 
            elec43	  82 
            elec44	 100 
            elec45	 134 
            elec46	  89 
            elec47	 147 
            elec48	 107 
            elec49	 756 
            elec50	  80 
            elec51	 132 
            elec52	 294 
            elec53	 160 
            elec54	 106 
            elec55	 118 
            elec56	  83 
            elec57	 120 
            elec58	 101 
            elec59	 146 
            elec60	  95 
            elec61	 122 
            elec62	  86 
            elec63	  59 
            elec64	 290 
            elec65	 104 
            elec66	 140 
            elec67	 127 
            elec68	 190 
            elec69	 132 
            elec70	 153 
            elec71	 118 
            elec72	 156 
            elec73	 101 
            elec74	 183 
            elec75	 106 
            elec76	 140 
            elec77	 133 
            elec78	 130 
            elec79	 125 
            elec80	 124 
            elec81	 304 
            elec82	 245 
            elec83	  94 
            elec84	 350 
            elec85	 104 
            elec86	  86 
            elec87	 134 
            elec88	 126 
            elec89	 128 
            elec90	 191 
            elec91	  82 
            elec92	 177 
            elec93	 103 
            elec94	  99 
            elec95	  69 
            elec96	 512 
            elec97	12854 
            elec98	8218 
            elec99	7958 
           elec100	8057 
           elec101	8124 
           elec102	8089 
           elec103	8044 
           elec104	8038 
           elec105	11512 
           elec106	8370 
           elec107	12373 
           elec108	11958 
           elec109	8039 
           elec110	8045 
           elec111	11651 
           elec112	8045 
           elec113	15467 
           elec114	8063 
           elec115	7992 
           elec116	8206 
           elec117	8005 
           elec118	8115 
           elec119	8138 
           elec120	8138 
           elec121	8055 
           elec122	8029 
           elec123	8079 
           elec124	8043 
           elec125	8113 
           elec126	13014 
           elec127	9781 
           elec128	<= 15
