* AutoImpedance measurements
*  2\26\2015* 10:37:14
*
* m = 5.40
* expected = 4460.00
* b = 34.00
*
* elec 	 RMS/Impedance
*******	**************
  elec1	   187 
  elec2	   153 
  elec3	  2764 
  elec4	   212 
  elec5	   166 
  elec6	   112 
  elec7	   158 
  elec8	   149 
  elec9	   152 
 elec10	   137 
 elec11	   201 
 elec12	   147 
 elec13	   184 
 elec14	   121 
 elec15	   991 
 elec16	   160 
 elec17	  1508 
 elec18	   131 
 elec19	   130 
 elec20	   118 
 elec21	   112 
 elec22	   105 
 elec23	   222 
 elec24	   144 
 elec25	   114 
 elec26	   145 
 elec27	   148 
 elec28	   185 
 elec29	   134 
 elec30	   180 
 elec31	   145 
 elec32	   186 
 elec33	   125 
 elec34	   117 
 elec35	   143 
 elec36	   192 
 elec37	   113 
 elec38	   154 
 elec39	   123 
 elec40	   136 
 elec41	   120 
 elec42	   196 
 elec43	   112 
 elec44	   128 
 elec45	   124 
 elec46	   243 
 elec47	   131 
 elec48	   255 
 elec49	   174 
 elec50	  2692 
 elec51	   131 
 elec52	   179 
 elec53	   164 
 elec54	   146 
 elec55	   150 
 elec56	   137 
 elec57	   169 
 elec58	   163 
 elec59	   153 
 elec60	   165 
 elec61	   139 
 elec62	   128 
 elec63	   217 
 elec64	   191 
 elec65	   171 
 elec66	   114 
 elec67	   111 
 elec68	   138 
 elec69	   120 
 elec70	   120 
 elec71	   127 
 elec72	   123 
 elec73	   137 
 elec74	   134 
 elec75	   166 
 elec76	   134 
 elec77	   193 
 elec78	   214 
 elec79	   302 
 elec80	   172 
 elec81	   109 
 elec82	   157 
 elec83	   156 
 elec84	   156 
 elec85	   258 
 elec86	   227 
 elec87	   307 
 elec88	   292 
 elec89	   419 
 elec90	   252 
 elec91	   453 
 elec92	   224 
 elec93	   306 
 elec94	   301 
 elec95	   206 
 elec96	   208 
 elec97	    0.61 uV
 elec98	    0.62 uV
 elec99	    0.57 uV
elec100	    0.61 uV
elec101	    0.63 uV
elec102	    0.61 uV
elec103	    0.59 uV
elec104	    0.62 uV
elec105	    0.62 uV
elec106	    0.62 uV
elec107	    0.62 uV
elec108	    0.60 uV
elec109	    0.63 uV
elec110	    0.61 uV
elec111	    0.60 uV
elec112	    0.61 uV
elec113	    0.62 uV
elec114	    0.60 uV
elec115	    0.55 uV
elec116	    0.62 uV
elec117	    0.58 uV
elec118	    0.62 uV
elec119	    0.62 uV
elec120	    0.57 uV
elec121	    0.56 uV
elec122	    0.59 uV
elec123	 1901.15 uV
elec124	    0.60 uV
elec125	 4348.48 uV
elec126	 4352.60 uV
elec127	 4310.96 uV
elec128	 1849.93 uV
