channel_id,bank,pin,electrode_label,electrode_num,col,row,x_um,y_um,electrode_id,serial,pad_agreement,z_ohm,at_limit
1,A,1,elec78,78,2,9,800.0,3600.0,1,1025-001497,exact,357,False
2,A,2,elec88,88,1,9,400.0,3600.0,2,1025-001497,exact,5619,False
3,A,3,elec68,68,3,9,1200.0,3600.0,3,1025-001497,exact,307,False
4,A,4,elec58,58,4,9,1600.0,3600.0,4,1025-001497,exact,318,False
5,A,5,elec56,56,4,7,1600.0,2800.0,5,1025-001497,exact,391,False
6,A,6,elec48,48,5,9,2000.0,3600.0,6,1025-001497,exact,275,False
7,A,7,elec57,57,4,8,1600.0,3200.0,7,1025-001497,exact,391,False
8,A,8,elec38,38,6,9,2400.0,3600.0,8,1025-001497,exact,284,False
9,A,9,elec47,47,5,8,2000.0,3200.0,9,1025-001497,exact,377,False
10,A,10,elec28,28,7,9,2800.0,3600.0,10,1025-001497,exact,318,False
11,A,11,elec37,37,6,8,2400.0,3200.0,11,1025-001497,exact,368,False
12,A,12,elec27,27,7,8,2800.0,3200.0,12,1025-001497,exact,407,False
13,A,13,elec36,36,6,7,2400.0,2800.0,13,1025-001497,exact,482,False
14,A,14,elec18,18,8,9,3200.0,3600.0,14,1025-001497,exact,355,False
15,A,15,elec45,45,5,6,2000.0,2400.0,15,1025-001497,exact,414,False
16,A,16,elec17,17,8,8,3200.0,3200.0,16,1025-001497,exact,389,False
17,A,17,elec46,46,5,7,2000.0,2800.0,17,1025-001497,exact,423,False
18,A,18,elec8,8,9,8,3600.0,3200.0,18,1025-001497,exact,290,False
19,A,19,elec35,35,6,6,2400.0,2400.0,19,1025-001497,exact,427,False
20,A,20,elec16,16,8,7,3200.0,2800.0,20,1025-001497,exact,294,False
21,A,21,elec24,24,7,5,2800.0,2000.0,21,1025-001497,exact,328,False
22,A,22,elec7,7,9,7,3600.0,2800.0,22,1025-001497,exact,509,False
23,A,23,elec26,26,7,7,2800.0,2800.0,23,1025-001497,exact,487,False
24,A,24,elec6,6,9,6,3600.0,2400.0,24,1025-001497,exact,508,False
25,A,25,elec25,25,7,6,2800.0,2400.0,25,1025-001497,exact,372,False
26,A,26,elec5,5,9,5,3600.0,2000.0,26,1025-001497,exact,229,False
27,A,27,elec15,15,8,6,3200.0,2400.0,27,1025-001497,exact,639,False
28,A,28,elec4,4,9,4,3600.0,1600.0,28,1025-001497,exact,477,False
29,A,29,elec14,14,8,5,3200.0,2000.0,29,1025-001497,exact,637,False
30,A,30,elec3,3,9,3,3600.0,1200.0,30,1025-001497,exact,477,False
31,A,31,elec13,13,8,4,3200.0,1600.0,31,1025-001497,exact,315,False
32,A,32,elec2,2,9,2,3600.0,800.0,32,1025-001497,exact,233,False
33,B,1,elec77,77,2,8,800.0,3200.0,33,1025-001497,exact,372,False
34,B,2,elec67,67,3,8,1200.0,3200.0,34,1025-001497,exact,544,False
35,B,3,elec76,76,2,7,800.0,2800.0,35,1025-001497,exact,369,False
36,B,4,elec66,66,3,7,1200.0,2800.0,36,1025-001497,exact,367,False
37,B,5,elec75,75,2,6,800.0,2400.0,37,1025-001497,exact,235,False
38,B,6,elec65,65,3,6,1200.0,2400.0,38,1025-001497,exact,286,False
39,B,7,elec74,74,2,5,800.0,2000.0,39,1025-001497,exact,332,False
40,B,8,elec64,64,3,5,1200.0,2000.0,40,1025-001497,exact,276,False
41,B,9,elec73,73,2,4,800.0,1600.0,41,1025-001497,exact,310,False
42,B,10,elec54,54,4,5,1600.0,2000.0,42,1025-001497,exact,275,False
43,B,11,elec63,63,3,4,1200.0,1600.0,43,1025-001497,exact,300,False
44,B,12,elec53,53,4,4,1600.0,1600.0,44,1025-001497,exact,312,False
45,B,13,elec72,72,2,3,800.0,1200.0,45,1025-001497,exact,256,False
46,B,14,elec43,43,5,4,2000.0,1600.0,46,1025-001497,exact,284,False
47,B,15,elec62,62,3,3,1200.0,1200.0,47,1025-001497,exact,288,False
48,B,16,elec55,55,4,6,1600.0,2400.0,48,1025-001497,exact,332,False
49,B,17,elec61,61,3,2,1200.0,800.0,49,1025-001497,exact,304,False
50,B,18,elec44,44,5,5,2000.0,2000.0,50,1025-001497,exact,311,False
51,B,19,elec52,52,4,3,1600.0,1200.0,51,1025-001497,exact,251,False
52,B,20,elec33,33,6,4,2400.0,1600.0,52,1025-001497,exact,278,False
53,B,21,elec51,51,4,2,1600.0,800.0,53,1025-001497,exact,300,False
54,B,22,elec34,34,6,5,2400.0,2000.0,54,1025-001497,exact,383,False
55,B,23,elec41,41,5,2,2000.0,800.0,55,1025-001497,exact,307,False
56,B,24,elec42,42,5,3,2000.0,1200.0,56,1025-001497,exact,311,False
57,B,25,elec31,31,6,2,2400.0,800.0,57,1025-001497,exact,340,False
58,B,26,elec32,32,6,3,2400.0,1200.0,58,1025-001497,exact,313,False
59,B,27,elec21,21,7,2,2800.0,800.0,59,1025-001497,exact,356,False
60,B,28,elec22,22,7,3,2800.0,1200.0,60,1025-001497,exact,361,False
61,B,29,elec11,11,8,2,3200.0,800.0,61,1025-001497,exact,355,False
62,B,30,elec23,23,7,4,2800.0,1600.0,62,1025-001497,exact,379,False
63,B,31,elec10,10,8,1,3200.0,400.0,63,1025-001497,exact,360,False
64,B,32,elec12,12,8,3,3200.0,1200.0,64,1025-001497,exact,466,False
65,C,1,elec96,96,0,8,0.0,3200.0,65,1025-001497,exact,12569,False
66,C,2,elec87,87,1,8,400.0,3200.0,66,1025-001497,exact,12926,False
67,C,3,elec95,95,0,7,0.0,2800.0,67,1025-001497,exact,453,False
68,C,4,elec86,86,1,7,400.0,2800.0,68,1025-001497,exact,383,False
69,C,5,elec94,94,0,6,0.0,2400.0,69,1025-001497,exact,316,False
70,C,6,elec85,85,1,6,400.0,2400.0,70,1025-001497,exact,375,False
71,C,7,elec93,93,0,5,0.0,2000.0,71,1025-001497,exact,374,False
72,C,8,elec84,84,1,5,400.0,2000.0,72,1025-001497,exact,382,False
73,C,9,elec92,92,0,4,0.0,1600.0,73,1025-001497,exact,322,False
74,C,10,elec83,83,1,4,400.0,1600.0,74,1025-001497,exact,324,False
75,C,11,elec91,91,0,3,0.0,1200.0,75,1025-001497,exact,277,False
76,C,12,elec82,82,1,3,400.0,1200.0,76,1025-001497,exact,314,False
77,C,13,elec90,90,0,2,0.0,800.0,77,1025-001497,exact,263,False
78,C,14,elec81,81,1,2,400.0,800.0,78,1025-001497,exact,259,False
79,C,15,elec89,89,0,1,0.0,400.0,79,1025-001497,exact,214,False
80,C,16,elec80,80,1,1,400.0,400.0,80,1025-001497,exact,296,False
81,C,17,elec79,79,1,0,400.0,0.0,81,1025-001497,exact,224,False
82,C,18,elec71,71,2,2,800.0,800.0,82,1025-001497,exact,289,False
83,C,19,elec69,69,2,0,800.0,0.0,83,1025-001497,exact,303,False
84,C,20,elec70,70,2,1,800.0,400.0,84,1025-001497,exact,324,False
85,C,21,elec59,59,3,0,1200.0,0.0,85,1025-001497,exact,301,False
86,C,22,elec60,60,3,1,1200.0,400.0,86,1025-001497,exact,311,False
87,C,23,elec50,50,4,1,1600.0,400.0,87,1025-001497,exact,291,False
88,C,24,elec49,49,4,0,1600.0,0.0,88,1025-001497,exact,402,False
89,C,25,elec40,40,5,1,2000.0,400.0,89,1025-001497,exact,294,False
90,C,26,elec39,39,5,0,2000.0,0.0,90,1025-001497,exact,292,False
91,C,27,elec30,30,6,1,2400.0,400.0,91,1025-001497,exact,350,False
92,C,28,elec29,29,6,0,2400.0,0.0,92,1025-001497,exact,302,False
93,C,29,elec19,19,7,0,2800.0,0.0,93,1025-001497,exact,322,False
94,C,30,elec20,20,7,1,2800.0,400.0,94,1025-001497,exact,369,False
95,C,31,elec1,1,9,1,3600.0,400.0,95,1025-001497,exact,42,False
96,C,32,elec9,9,8,0,3200.0,0.0,96,1025-001497,exact,5725,False
