channel_id,bank,pin,electrode_label,electrode_id,col,row,x_um,y_um,serial,pad_agreement,z_ohm,at_limit
1,A,1,elec78,78,2,9,800.0,3600.0,1025-004419,exact,158,False
2,A,2,elec88,88,1,9,400.0,3600.0,1025-004419,exact,138,False
3,A,3,elec68,68,3,9,1200.0,3600.0,1025-004419,exact,149,False
4,A,4,elec58,58,4,9,1600.0,3600.0,1025-004419,exact,137,False
5,A,5,elec56,56,4,7,1600.0,2800.0,1025-004419,exact,125,False
6,A,6,elec48,48,5,9,2000.0,3600.0,1025-004419,exact,116,False
7,A,7,elec57,57,4,8,1600.0,3200.0,1025-004419,exact,111,False
8,A,8,elec38,38,6,9,2400.0,3600.0,1025-004419,exact,119,False
9,A,9,elec47,47,5,8,2000.0,3200.0,1025-004419,exact,106,False
10,A,10,elec28,28,7,9,2800.0,3600.0,1025-004419,exact,113,False
11,A,11,elec37,37,6,8,2400.0,3200.0,1025-004419,exact,90,False
12,A,12,elec27,27,7,8,2800.0,3200.0,1025-004419,exact,103,False
13,A,13,elec36,36,6,7,2400.0,2800.0,1025-004419,exact,114,False
14,A,14,elec18,18,8,9,3200.0,3600.0,1025-004419,exact,139,False
15,A,15,elec45,45,5,6,2000.0,2400.0,1025-004419,exact,82,False
16,A,16,elec17,17,8,8,3200.0,3200.0,1025-004419,exact,89,False
17,A,17,elec46,46,5,7,2000.0,2800.0,1025-004419,exact,500,False
18,A,18,elec8,8,9,8,3600.0,3200.0,1025-004419,exact,127,False
19,A,19,elec35,35,6,6,2400.0,2400.0,1025-004419,exact,90,False
20,A,20,elec16,16,8,7,3200.0,2800.0,1025-004419,exact,383,False
21,A,21,elec24,24,7,5,2800.0,2000.0,1025-004419,exact,69,False
22,A,22,elec7,7,9,7,3600.0,2800.0,1025-004419,exact,112,False
23,A,23,elec26,26,7,7,2800.0,2800.0,1025-004419,exact,131,False
24,A,24,elec6,6,9,6,3600.0,2400.0,1025-004419,exact,101,False
25,A,25,elec25,25,7,6,2800.0,2400.0,1025-004419,exact,110,False
26,A,26,elec5,5,9,5,3600.0,2000.0,1025-004419,exact,112,False
27,A,27,elec15,15,8,6,3200.0,2400.0,1025-004419,exact,94,False
28,A,28,elec4,4,9,4,3600.0,1600.0,1025-004419,exact,100,False
29,A,29,elec14,14,8,5,3200.0,2000.0,1025-004419,exact,106,False
30,A,30,elec3,3,9,3,3600.0,1200.0,1025-004419,exact,93,False
31,A,31,elec13,13,8,4,3200.0,1600.0,1025-004419,exact,90,False
32,A,32,elec2,2,9,2,3600.0,800.0,1025-004419,exact,325,False
33,B,1,elec77,77,2,8,800.0,3200.0,1025-004419,exact,129,False
34,B,2,elec67,67,3,8,1200.0,3200.0,1025-004419,exact,101,False
35,B,3,elec76,76,2,7,800.0,2800.0,1025-004419,exact,235,False
36,B,4,elec66,66,3,7,1200.0,2800.0,1025-004419,exact,146,False
37,B,5,elec75,75,2,6,800.0,2400.0,1025-004419,exact,132,False
38,B,6,elec65,65,3,6,1200.0,2400.0,1025-004419,exact,97,False
39,B,7,elec74,74,2,5,800.0,2000.0,1025-004419,exact,139,False
40,B,8,elec64,64,3,5,1200.0,2000.0,1025-004419,exact,117,False
41,B,9,elec73,73,2,4,800.0,1600.0,1025-004419,exact,110,False
42,B,10,elec54,54,4,5,1600.0,2000.0,1025-004419,exact,111,False
43,B,11,elec63,63,3,4,1200.0,1600.0,1025-004419,exact,82,False
44,B,12,elec53,53,4,4,1600.0,1600.0,1025-004419,exact,100,False
45,B,13,elec72,72,2,3,800.0,1200.0,1025-004419,exact,134,False
