half,pos,matlab,pad,col,row,bank,pin,channel_id,label
A1,1,1,17,8,8,A,16,16,elec17
A1,2,2,48,5,9,A,6,6,elec48
A1,3,3,45,5,6,A,15,15,elec45
A1,4,4,18,8,9,A,14,14,elec18
A1,5,5,36,6,7,A,13,13,elec36
A1,6,6,27,7,8,A,12,12,elec27
A1,7,7,37,6,8,A,11,11,elec37
A1,8,8,78,2,9,A,1,1,elec78
A1,9,9,28,7,9,A,10,10,elec28
A1,10,10,88,1,9,A,2,2,elec88
A1,11,11,47,5,8,A,9,9,elec47
A1,12,12,68,3,9,A,3,3,elec68
A1,13,13,38,6,9,A,8,8,elec38
A1,14,14,58,4,9,A,4,4,elec58
A1,15,15,57,4,8,A,7,7,elec57
A1,16,16,56,4,7,A,5,5,elec56
A2,1,17,2,9,2,A,32,32,elec2
A2,2,18,7,9,7,A,22,22,elec7
A2,3,19,13,8,4,A,31,31,elec13
A2,4,20,3,9,3,A,30,30,elec3
A2,5,21,14,8,5,A,29,29,elec14
A2,6,22,4,9,4,A,28,28,elec4
A2,7,23,15,8,6,A,27,27,elec15
A2,8,24,46,5,7,A,17,17,elec46
A2,9,25,5,9,5,A,26,26,elec5
A2,10,26,8,9,8,A,18,18,elec8
A2,11,27,25,7,6,A,25,25,elec25
A2,12,28,35,6,6,A,19,19,elec35
A2,13,29,6,9,6,A,24,24,elec6
A2,14,30,16,8,7,A,20,20,elec16
A2,15,31,26,7,7,A,23,23,elec26
A2,16,32,24,7,5,A,21,21,elec24
B1,1,33,55,4,6,B,16,48,elec55
B1,2,34,65,3,6,B,6,38,elec65
B1,3,35,62,3,3,B,15,47,elec62
B1,4,36,43,5,4,B,14,46,elec43
B1,5,37,72,2,3,B,13,45,elec72
B1,6,38,53,4,4,B,12,44,elec53
B1,7,39,63,3,4,B,11,43,elec63
B1,8,40,77,2,8,B,1,33,elec77
B1,9,41,54,4,5,B,10,42,elec54
B1,10,42,67,3,8,B,2,34,elec67
B1,11,43,73,2,4,B,9,41,elec73
B1,12,44,76,2,7,B,3,35,elec76
B1,13,45,64,3,5,B,8,40,elec64
B1,14,46,66,3,7,B,4,36,elec66
B1,15,47,74,2,5,B,7,39,elec74
B1,16,48,75,2,6,B,5,37,elec75
B2,1,49,12,8,3,B,32,64,elec12
B2,2,50,34,6,5,B,22,54,elec34
B2,3,51,10,8,1,B,31,63,elec10
B2,4,52,23,7,4,B,30,62,elec23
B2,5,53,11,8,2,B,29,61,elec11
B2,6,54,22,7,3,B,28,60,elec22
B2,7,55,21,7,2,B,27,59,elec21
B2,8,56,61,3,2,B,17,49,elec61
B2,9,57,32,6,3,B,26,58,elec32
B2,10,58,44,5,5,B,18,50,elec44
B2,11,59,31,6,2,B,25,57,elec31
B2,12,60,52,4,3,B,19,51,elec52
B2,13,61,42,5,3,B,24,56,elec42
B2,14,62,33,6,4,B,20,52,elec33
B2,15,63,41,5,2,B,23,55,elec41
B2,16,64,51,4,2,B,21,53,elec51
C1,1,65,80,1,1,C,16,80,elec80
C1,2,66,85,1,6,C,6,70,elec85
C1,3,67,89,0,1,C,15,79,elec89
C1,4,68,81,1,2,C,14,78,elec81
C1,5,69,90,0,2,C,13,77,elec90
C1,6,70,82,1,3,C,12,76,elec82
C1,7,71,91,0,3,C,11,75,elec91
C1,8,72,96,0,8,C,1,65,elec96
C1,9,73,83,1,4,C,10,74,elec83
C1,10,74,87,1,8,C,2,66,elec87
C1,11,75,92,0,4,C,9,73,elec92
C1,12,76,95,0,7,C,3,67,elec95
C1,13,77,84,0,0,C,8,72,elec84
C1,14,78,86,1,7,C,4,68,elec86
C1,15,79,93,0,5,C,7,71,elec93
C1,16,80,94,0,6,C,5,69,elec94
C2,1,81,9,8,0,C,32,96,elec9
C2,2,82,60,3,1,C,22,86,elec60
C2,3,83,1,9,9,C,31,95,elec1
C2,4,84,20,7,1,C,30,94,elec20
C2,5,85,19,7,0,C,29,93,elec19
C2,6,86,29,6,0,C,28,92,elec29
C2,7,87,30,6,1,C,27,91,elec30
C2,8,88,79,1,0,C,17,81,elec79
C2,9,89,39,5,0,C,26,90,elec39
C2,10,90,71,2,2,C,18,82,elec71
C2,11,91,40,5,1,C,25,89,elec40
C2,12,92,69,2,0,C,19,83,elec69
C2,13,93,49,4,0,C,24,88,elec49
C2,14,94,70,2,1,C,20,84,elec70
C2,15,95,50,4,1,C,23,87,elec50
C2,16,96,59,3,0,C,21,85,elec59
