metric,variant,contrast,sd,ci_lo,ci_hi,n_units,efficiency_vs_within
mmp2p:logamp,realistic,within,0.058500666787654775,0.05468415097161976,0.06171919873922463,8,1.0
mmp2p:logamp,realistic,between_array,0.12850047948818705,0.09785668010851983,0.13713641851908145,4,4.824894971565986
mmp2p:logamp,realistic,between_array_cleanpairs,0.09437097906321935,0.09437097906321935,0.09437097906321935,1,2.602287580663405
mmp2p:logamp,realistic,between_subject,0.22669967722828585,0.12900933924715843,0.26624363015606145,3,15.01689593637988
mmp2p:logamp,matched,within,0.08261368878414316,0.07705339964093605,0.0871860842469407,8,1.0
mmp2p:logamp,matched,between_array,0.1581473613962171,0.12303593242829841,0.1652828395045229,4,3.664543422096468
mmp2p:logamp,matched,between_array_cleanpairs,0.1132718928189399,0.1132718928189399,0.1132718928189399,1,1.879923977190012
mmp2p:logamp,matched,between_subject,0.24106084123271343,0.14041435744987388,0.2745450286265693,3,8.514307030579984
mmp2p:max_p2p_uv,realistic,within,15.893654393793142,13.664286573763347,18.709895857314866,8,1.0
mmp2p:max_p2p_uv,realistic,between_array,24.509615197879366,16.213557941497978,29.90615992812671,4,2.3780744974618577
mmp2p:max_p2p_uv,realistic,between_array_cleanpairs,28.37988665238872,28.37988665238872,28.37988665238872,1,3.18840721328943
mmp2p:max_p2p_uv,realistic,between_subject,42.89880312252086,20.35996847531752,48.58902871020214,3,7.285222511230199
mmp2p:max_p2p_uv,matched,within,21.848673312709643,19.304660875489393,25.020462942394534,8,1.0
mmp2p:max_p2p_uv,matched,between_array,29.39321993618409,22.37975066366355,33.44183474236667,4,1.8098566860740037
mmp2p:max_p2p_uv,matched,between_array_cleanpairs,33.838045740505095,33.838045740505095,33.838045740505095,1,2.3986142210211745
mmp2p:max_p2p_uv,matched,between_subject,48.55778748521098,30.643205644683523,53.12398815448838,3,4.939325398893527
yield:active,realistic,within,0.022301155698333602,0.014382139829004756,0.03032819255940375,8,1.0
yield:active,realistic,between_array,0.10253048592811362,0.009097819516571608,0.15618510537190824,4,21.13738665142345
yield:active,realistic,between_array_cleanpairs,0.16808954148609798,0.16808954148609798,0.16808954148609798,1,56.81024280741095
yield:active,realistic,between_subject,0.17773848917893242,0.06309489255374219,0.18716564168340596,3,63.51966937537133
yield:active,matched,within,0.03428562772146,0.021197584165895598,0.046367856035335164,8,1.0
yield:active,matched,between_array,0.09427035995823192,0.015453152706988322,0.13818927037145273,4,7.5600752856902655
yield:active,matched,between_array_cleanpairs,0.14877538362897,0.14877538362897,0.14877538362897,1,18.829463551683354
yield:active,matched,between_subject,0.17761519003718412,0.06579278774791787,0.1862232804284287,3,26.837125635271395
crossing_rate:lograte,realistic,within,0.060711501760076225,0.05665305875845189,0.06448346171271466,2,1.0
crossing_rate:lograte,realistic,between_array,0.1511723611289647,0.1511723611289647,0.1511723611289647,1,6.2001592030409896
crossing_rate:lograte,realistic,between_array_cleanpairs,,,,0,
crossing_rate:lograte,realistic,between_subject,,,,0,
crossing_rate:lograte,matched,within,0.08880279705865353,0.08417632071409602,0.093178273501392,2,1.0
crossing_rate:lograte,matched,between_array,0.1560890630329594,0.1560890630329594,0.1560890630329594,1,3.08952459589581
crossing_rate:lograte,matched,between_array_cleanpairs,,,,0,
crossing_rate:lograte,matched,between_subject,,,,0,
