metric,win_start,win_end,n_arrays,n_subjects,contrast,sd,ci_lo,ci_hi,n_units,efficiency_vs_within
mmp2p:logamp,0,6,8,3,within,0.05769241485366484,0.05175351753445613,0.06610873275506621,8.0,1.0
mmp2p:logamp,0,6,8,3,between_array,0.1144350317883627,0.07524706453239371,0.12696375796586948,4.0,3.934418501363305
mmp2p:logamp,0,6,8,3,between_array_cleanpairs,0.018308710560504305,0.018308710560504305,0.018308710560504305,1.0,0.10071127230662551
mmp2p:logamp,0,6,8,3,between_subject,0.06871313890358124,0.0471177714584513,0.08881136761405974,3.0,1.4185418100363925
mmp2p:logamp,0,6,8,3,mom_rho,,,,,0.04520610484481508
mmp2p:logamp,3,9,6,3,within,0.054737430191155324,0.047983016453954516,0.0613060547672001,6.0,1.0
mmp2p:logamp,3,9,6,3,between_array,0.06348947986408841,0.020574014121256364,0.06981156919774381,3.0,1.3453482855645673
mmp2p:logamp,3,9,6,3,between_array_cleanpairs,0.0464466019215749,0.0464466019215749,0.0464466019215749,1.0,0.720010920559541
mmp2p:logamp,3,9,6,3,between_subject,0.054663293206261905,0.03633059922921105,0.06132709205219791,3.0,0.9972930121616669
mmp2p:logamp,3,9,6,3,mom_rho,,,,,0.04375841525829
mmp2p:logamp,6,12,6,3,within,0.05259632054971135,0.048092341541704435,0.056452056473025654,6.0,1.0
mmp2p:logamp,6,12,6,3,between_array,0.0769293737708365,0.02618646483204506,0.08561526121786044,3.0,2.139309734096219
mmp2p:logamp,6,12,6,3,between_array_cleanpairs,0.02787762063830515,0.02787762063830515,0.02787762063830515,1.0,0.2809316569422978
mmp2p:logamp,6,12,6,3,between_subject,0.08345879690059381,0.030255675495266247,0.09166798619787307,3.0,2.5178712136178483
mmp2p:logamp,6,12,6,3,mom_rho,,,,,0.07877495850088921
mmp2p:logamp,9,15,6,3,within,0.05995250345097954,0.05551420209535826,0.06388917131859621,6.0,1.0
mmp2p:logamp,9,15,6,3,between_array,0.13909469393261642,0.04941827972007359,0.1576987011557584,3.0,5.382778150954791
mmp2p:logamp,9,15,6,3,between_array_cleanpairs,0.13895736750710927,0.13895736750710927,0.13895736750710927,1.0,5.372154700675911
mmp2p:logamp,9,15,6,3,between_subject,0.12049114540698809,0.044844400745402295,0.13279763391555685,3.0,4.039202441826507
mmp2p:logamp,9,15,6,3,mom_rho,,,,,0.14230865133244558
mmp2p:logamp,12,18,6,3,within,0.06257631413538382,0.05662944803594537,0.06722957355879286,6.0,1.0
