metric,axis,subject,array,n_cells,mean,ci90_lo,ci90_hi,bound,p_equiv
amplitude_log10,stripe,Fisk,SN1498,23,-0.04112497489470428,-0.05040441105584592,-0.031845538733562634,0.041,0.5091210351401706
amplitude_log10,stripe,Fisk,SN1498,23,-0.04112497489470428,-0.05040441105584592,-0.031845538733562634,0.1,1.241576150927777e-10
amplitude_log10,stripe,Fisk,SN1504,23,-0.040332098449929236,-0.05558706461143554,-0.025077132288422933,0.041,0.47037508606945266
amplitude_log10,stripe,Fisk,SN1504,23,-0.040332098449929236,-0.05558706461143554,-0.025077132288422933,0.1,4.7267703706412375e-07
amplitude_log10,stripe,Nigel,Anterior,22,-0.0015676180009790027,-0.014565573303303235,0.011430337301345229,0.041,1.7847142216554163e-05
amplitude_log10,stripe,Nigel,Anterior,22,-0.0015676180009790027,-0.014565573303303235,0.011430337301345229,0.1,7.846662594334496e-12
amplitude_log10,stripe,Nigel,Posterior,21,0.003874716993412088,-0.004919691934951822,0.012669125921775999,0.041,2.4195989377046785e-07
amplitude_log10,stripe,Nigel,Posterior,21,0.003874716993412088,-0.004919691934951822,0.012669125921775999,0.1,1.6645299152205844e-14
amplitude_log10,row_control,Fisk,SN1498,23,-0.07866127759142069,-0.08770175126336288,-0.0696208039194785,0.041,0.9999998205768954
amplitude_log10,row_control,Fisk,SN1498,23,-0.07866127759142069,-0.08770175126336288,-0.0696208039194785,0.1,0.00026496612534527474
amplitude_log10,row_control,Fisk,SN1504,23,0.004213850689205419,-0.00807381469697339,0.016501516075384227,0.041,1.8748907677913517e-05
amplitude_log10,row_control,Fisk,SN1504,23,0.004213850689205419,-0.00807381469697339,0.016501516075384227,0.1,2.371504246149377e-12
amplitude_log10,row_control,Nigel,Anterior,22,-0.013915244246016777,-0.02665548974887299,-0.0011749987431605626,0.041,0.0007333845354674823
amplitude_log10,row_control,Nigel,Anterior,22,-0.013915244246016777,-0.02665548974887299,-0.0011749987431605626,0.1,6.504054794224597e-11
amplitude_log10,row_control,Nigel,Posterior,21,0.02202438761393774,0.010587085228485591,0.03346168999938989,0.041,0.004823823342180139
amplitude_log10,row_control,Nigel,Posterior,21,0.02202438761393774,0.010587085228485591,0.03346168999938989,0.1,9.727263086436651e-11
yield_fraction,stripe,Fisk,SN1498,23,-0.012074987256697313,-0.020860153360526972,-0.0032898211528676544,0.05,1.0215809324895304e-07
yield_fraction,stripe,Fisk,SN1498,23,-0.012074987256697313,-0.020860153360526972,-0.0032898211528676544,0.1,1.5443200018829135e-14
yield_fraction,stripe,Fisk,SN1504,23,0.005973305140742682,-0.006911385822893574,0.018857996104378938,0.05,3.3222266345433877e-06
yield_fraction,stripe,Fisk,SN1504,23,0.005973305140742682,-0.006911385822893574,0.018857996104378938,0.1,8.616729352294848e-12
yield_fraction,stripe,Nigel,Anterior,22,0.0008996212121212089,-0.0028191245745128545,0.0046183669987552725,0.05,1.4437595163342997e-16
yield_fraction,stripe,Nigel,Anterior,22,0.0008996212121212089,-0.0028191245745128545,0.0046183669987552725,0.1,7.678883385348568e-23
yield_fraction,stripe,Nigel,Posterior,21,0.0015376984126983992,-0.0006717839862098284,0.0037471808116066267,0.05,2.1933067356330342e-20
yield_fraction,stripe,Nigel,Posterior,21,0.0015376984126983992,-0.0006717839862098284,0.0037471808116066267,0.1,1.6877387593619395e-26
yield_fraction,row_control,Fisk,SN1498,23,-0.00808774943835072,-0.015388975499761315,-0.0007865233769401257,0.05,7.836796784329713e-10
yield_fraction,row_control,Fisk,SN1498,23,-0.00808774943835072,-0.015388975499761315,-0.0007865233769401257,0.1,1.3047057710978194e-16
yield_fraction,row_control,Fisk,SN1504,23,0.010504257207045597,0.0035091097648899854,0.01749940464920121,0.05,1.0567287992489446e-09
yield_fraction,row_control,Fisk,SN1504,23,0.010504257207045597,0.0035091097648899854,0.01749940464920121,0.1,9.27812716637776e-17
yield_fraction,row_control,Nigel,Anterior,22,0.0019728535353535385,-0.002588509762997197,0.006534216833704274,0.05,1.34015235458388e-14
yield_fraction,row_control,Nigel,Anterior,22,0.0019728535353535385,-0.002588509762997197,0.006534216833704274,0.1,6.670211853394503e-21
yield_fraction,row_control,Nigel,Posterior,21,0.01076388888888889,0.0031141303473333944,0.018413647430444387,0.05,1.1918417638472857e-08
yield_fraction,row_control,Nigel,Posterior,21,0.01076388888888889,0.0031141303473333944,0.018413647430444387,0.1,4.820593889660944e-15
amplitude_log10,stripe_sd,all,all,89,0.03861017582464752,,,,
amplitude_log10,between_array_sd,all,all,44,0.11804367534476118,,,,
